,name,album,artist,release_date,length,popularity,danceability
59,Welcome To New York,1989 (Deluxe),Taylor Swift,2014-01-01,212600,58,0.789
60,Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,231826,82,0.76
61,Style,1989 (Deluxe),Taylor Swift,2014-01-01,231000,75,0.588
62,Out Of The Woods,1989 (Deluxe),Taylor Swift,2014-01-01,235800,67,0.553
63,All You Had To Do Was Stay,1989 (Deluxe),Taylor Swift,2014-01-01,193293,58,0.605
64,Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,80,0.647
65,I Wish You Would,1989 (Deluxe),Taylor Swift,2014-01-01,207440,60,0.653
66,Bad Blood,1989 (Deluxe),Taylor Swift,2014-01-01,211933,59,0.646
67,Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,220440,61,0.55
68,How You Get The Girl,1989 (Deluxe),Taylor Swift,2014-01-01,247533,60,0.765
69,This Love,1989 (Deluxe),Taylor Swift,2014-01-01,250093,60,0.481
70,I Know Places,1989 (Deluxe),Taylor Swift,2014-01-01,195706,58,0.602
71,Clean,1989 (Deluxe),Taylor Swift,2014-01-01,271000,63,0.815
72,Wonderland,1989 (Deluxe),Taylor Swift,2014-01-01,245560,65,0.422
73,You Are In Love,1989 (Deluxe),Taylor Swift,2014-01-01,267106,62,0.474
74,New Romantics,1989 (Deluxe),Taylor Swift,2014-01-01,230466,66,0.633
75,I Know Places - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,216333,0,0.592
76,I Wish You Would - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,107133,0,0.781
77,Blank Space - Voice Memo,1989 (Deluxe),Taylor Swift,2014-01-01,131186,0,0.675
